8,VSA1,Omena-hotelli Vaasa Postitalo,35
19,POR2,Omena-hotelli Pori,44
4,SJK1,Omena Kalevankatu 2,50
3,HKI2,Omena-hotelli Helsinki Lönnrotinkatu,159
20,TKU2,Omena-hotelli Turku Kauppiaskatu,52
7,TKU1,Omena-hotelli Turku Humalistonkatu,76
9,HKI3,Omena-hotelli Helsinki Yrjönkatu,83
18,VSA2,Omena-hotelli Vaasa,35
2,JYL1,Omena-hotelli Jyväskylä,62
6,TRE2,Omena-hotelli Tampere,153
